@relation 1_1

@attribute Text_data String
@attribute Classification {?,Cons,Pros}

@data
'None as far as I can tell',Cons
'Very versatile',Pros
'uses the 3.5 inch floppy disk as storage device, affordable price, rugged design,onscreen battery meter',Pros
'none as of yet',Cons
'Very classy look and feel, tons of useful features, easy to navigate',Pros
'Cartridge change electronics / printer driver',Cons
'photo size restrictions',Cons
'very good quality of printing, shape allows you to sit it on a shelf',Pros
'Face of phone small, a little hard to read',Cons
'Size, light weight, quality pictures, picture modes',Pros
'great picture quality',Pros
'lcd zoom quality poor, Proprietary memory',Cons
'Quality sound, Easy to use, Nice features',Pros
'no support from sony',Cons
'Print quality, software, speed',Pros
'Unusable Data and Voice Service via T-Mobile',Cons
'Long zoom, manual settings, size, versatility',Pros
'Car seat snaps right into stroller so baby stays undisturbed',Pros
'Takes up a large area on desktop',Cons
'Operating cost BAD...',Cons
'Rather fast, excellent service',Pros
'Sliding Keypad Cover could break easy',Cons
'Noisy, Changing Cartridges a Hassle, Print speed somewhat slow',Cons
'solid construction, good reception, decent battery life, lots of features for the $',Pros
'- Size, - Battery life, - Daytime pictures',Pros
'Battery life, digital zoom',Cons
'Signal reception',Pros
'doesn\'t handle cardstock or thicker envelopes well',Cons
'Has a nice shape and fits almost anywhere',Pros
'Very short battery life, built-in flash is dangerously bright.',Cons
'Manual flash',Cons
'Stated battery life is in dog hours, lame ringtones, ill advised outside buttons',Cons
'Easy to use combination of car seat and stroller; comfortable for baby.',Pros
'Expensive phone and Expensive Accessories',Cons
'warranty not very long',Cons
'Scratches easily, Web browser',Cons
'It is reliable',Pros
'&amp;quot;big kid&amp;quot; and newborn can ride together',Pros
'Cheap, simple to operate, decent flash',Pros
'both cameras are bad quality (nothing new for cell phones), Motorola charger, weak vibrate',Cons
everything,Pros
'Two-Way Radio',Pros
'two in one, small, sleek, sexy',Pros
'small, simple, cheap',Pros
'Interesting design, radio, good volume, Color Screen',Pros
'Distant Images Poor, Battery wears down quickly, Small and Awkward to Hold',Cons
'Battery hog, missing ac adapter and charger',Cons
'size, cool factor, big screen, features',Pros
'fast and clear',Pros
'Easy to use and hold, great new web features, long lasting battery, great sound quality',Pros
'Short power cord, takes up lots of desk space',Cons
'Big screen for a cell, good battery life, clear display, expandable memory, bluetooth.',Pros
'Stops abruptly.',Cons
'Slightly confusing menus...',Cons
'Size, weight, feel, dependability.',Pros
'Slow to download, no zoom or special features',Cons
'Photo quality is still not quite up to Epson standards',Cons
'Digital zoom can be a little fuzzy.&amp;#13;&amp;#10;Make sure your shots are steady.',Cons
'Lightweight, decent photos, fun to use, good software.',Pros
'If you want a telephoto lens or wide-angled lens, you have to spend additional bucks.',Cons
none,Cons
'Clogs , consumes ink, lousy quality construction, frequent paper jams.',Cons
'GREAT DIGITAL 1ST CAMERA',Pros
'Compact, Lightweight, Easy to use, Good for use with little kids, No wasted film, Preview pictures and delete ones you don\'t like',Pros
'The folded lens compromises image quality, a little shy on features--see review',Cons
'No optical zoom',Cons
'Focus can be tricky, some preview modes are less than optimal, not 35mm yet',Cons
'No speakerphone,',Cons
'heavy - hard to push, won\'t stay folded, canopies useless,, seat weight restriction',Cons
'One is better than none',Cons
'Light, small, battery, fast, IR, WinCE drivers...',Pros
'Slow writes, slow reads, slow boot-up, slow shut-down...JUST PLAIN SLOW',Cons
'A little slow getting started.',Cons
'excellent printer, excellent photos, excellent tech support',Pros
'batteries get used up fast, nothing else comes to mind.',Cons
'painted case, price',Cons
'Paper feeds three or four sheets at a time. A cartridge a month, no joke.',Cons
'Basically Everything.',Cons
'Cheap, small.',Pros
'Battery life doesn\'t compare to my 8390, which would last well over a week.',Cons
'Great size and pictures, intuitive interface and software',Pros
'Very Lightweight,Has Speakerphone and Vibration features.',Pros
'Battery life, size, voice dialer',Pros
'None so far!',Cons
'Amazing image quality, Movies w/sound, Small - Easy to carry, Easy to use',Pros
'Holds a lot of paper, prints fast, high quality material; rarely jams.',Pros
'short battery life, dropped calls frequently',Cons
'Looks, Functions, Battery',Pros
'Wonderful resolution-I produced a 52-page yearbook using all digital photos and they were great.',Pros
'None .',Cons
'Small size, great pictures, semi-pro features.',Pros
'Poor picture quality, Useless Ir Port, Data cable not avalible in USA yet.',Cons
'Size, xD, 10X optical zoom, 4 megpix gives high quality pics, ease of use',Pros
'excell. pictures, great night shots, low recycle time',Pros
'Very inexpensive',Pros
'super low price, light weight,',Pros
'For undemanding home users only',Cons
'Software o bit clunky. Lack of complete paper users manual',Cons
'Good from newborn to toddler; high quality materials',Pros
'Intuitive, fantastic ergonomics, strong email support, good speakerphone, good browser, easy to read display.',Pros
'Quality construction, good shape and feel. Decent address book. Good speakerphone.',Pros
pricey,Cons
'easy to use, small, great software',Pros
'easy to use - great picture quality',Pros
NONE,Cons
'Printer Driver lacks options for Matte Paper and Print Preview',Cons
'Sub-par sound, awkward menu layout',Cons
'Sharp pictures, great color, lots of options',Pros
'short battery life',Cons
'Heavy, big',Cons
'don\'t know when you will run out of ink!',Cons
'Direct-Connect walkie-talkie functionality, built in speakerphone',Pros
'quality, features, price',Pros
'absolutely nothing at all!',Cons
'Quality, Easy to use/maintain',Pros
'Picture quality',Cons
'Big pics crystal clear, kid can use it, very light, long battery life',Pros
'Low resolution',Cons
'too expensive, easily breakable, strap problems',Cons
'Slightly pricey, I have found much pricier phones. Kind of bulky, low battery life.',Cons
'Light, very thin, easy to use, stylish, long battery life, Great Reception',Pros
'Too large for some and too small for others, somewhat obsolescent due to newer phones',Cons
'No memory chip.',Cons
'Not enough features',Cons
'everything is easy to use and the funtions are great',Pros
'Doesn\'t warn you when you\'re about to run out of ink.',Cons
'not as flashy as some others',Cons
'Low price, good quality, feature-loaded drivers, integral power supply.',Pros
alot,Pros
'can be slow to print, setup may take over an hour to install and register software',Cons
'Buggy software and manual, no GPS or time/cost management capabilities',Cons
'Storage is limited by the current technology',Cons
'No page count, poor manual, cable could be longer, no USB.',Cons
'Too much of a reddish cast given to most indoor pictures.',Cons
'camera breaks, Agfa does nothing except tell lies',Cons
'severe and chronic paper feed problems',Cons
